"MIDX","MTITLE","MCONTENT","MPOINT","MDATE","MUSER"
17071047,"정직한 후보","유머 코드도 안맞는데 스토리까지 예상 범주 안쪽집중해서 보긴 뭐 하고 틀어 놓고 딴 짓 하기 좋은 정도.",4,20200818,17071047
17071046,"다만 악에서 구하소서","아진짜 솔직히 기대안하고 봤는데 너무 재미있고 특히 박정민배우님 너무 좋아요그리고 황정민배우님 이정재배우님 사랑합니다그냥 이영화를 만든 사람들 사랑하고 감사합니다",10,20200818,17071046
17071045,"오케이 마담","가족들이랑 보고왔는데 다들 넘 재미있데요 ~",10,20200818,17071045
17071044,"오케이 마담","쓰래기 영화입니다 다들 두번씩 보세요",2,20200818,17071044
17071043,"강철비2: 정상회담","잼있게봤어요!! 왜안보까. . .",8,20200818,17071043
17071042,"들어는 봤니? 모건 부부","뭔가 초반에는 되게 재밌을거같은 흥미를 끄는데 생각보다 싱거웠다ㅠㅠ그래도 미국 시골이 많이 나와서 이것저것 볼거리는 많았고, 부부생활 이야기를 가볍게 볼 수 있었당",6,20200818,17071042
17071041,"반도","강동원이 진짜 멋있음.. 8점은 넘는 영화라고 생각함",8,20200818,17071041
17071040,"강철비2: 정상회담","일어날 수 없는 억지 연출 ~ 가능성 제로 ~ 걍~ 어이없는 상황에서 봤습니다. 이런일이 일어날 수 도 있길 기대(?)",6,20200818,17071040
17071038,"다만 악에서 구하소서","2시간이 20분처럼 느껴졌습니다.이게 재미없다면 영화 만드시는걸 추천드립니다.. ^^TV에서 볼때는 영상이 빨라서 액션이 어눌했지만영화관에서 보니 소리와 함께 소스가 어우러지니 영상속도랑 딱딱 정말 재미있게 봤습니다. 짧아서 아쉬울 정도였어요 ...",9,20200818,17071038
17071037,"콰이어트 플레이스","피임 왜 안했냐는 말이 있는데 자손 남길려고 하는거 아닌가..?저 상황에서도 인구수는 계속 줄어들고 있을텐데 아기를 낳긴 낳아야지",9,20200818,17071037
17071035,"오케이 마담","그냥 편하게 보실분들은 나쁘지않아요.. 액션씬은 볼만함..",7,20200818,17071035
17071034,"강철비2: 정상회담","전작과 비슷하여 지지부진하고 따분한 내용이 될 수도 있었는데 거기에 잠수함을 섞은게 그나마 몰입감과 긴장감을 가져 온 신의 한수였다. 헌터킬러나 U-571에 한참 모자라지만 그래도 이런 시도는 괜찮았다고 본다.",7,20200818,17071034
17071033,"파이널리스트","진짜 별로 만듬새도 안좋고 연주도 그닥",2,20200818,17071033
17071032,"청년경찰","이렇게 늦게봤어도 진짜 한번보니깐 주인공들인 박서준이랑 강하늘이 진짜 멋있게 보였고, 작가님도 멋있게 하시느라 정말 수고많으셨습니다!!!",10,20200818,17071032
17071031,"강철비2: 정상회담","정우성 연기에 뭉클했다..마지막에 나도 모르게 그만 눈물이 흐르네..ㅠ",10,20200818,17071031
17071030,"다만 악에서 구하소서","우와 박정민 대박..!",10,20200818,17071030
17071029,"강철비2: 정상회담","예술과 정치 구분좀 하자 감독아.좌파것들 이게문제야. 지들이념만 옳고 정의라고 믿으니 영화에까지 지생각만 쳐 우겨넣지.이런 민감한 주제로 영화 만들땐 최소한의 중립성정돈 지켜라.",1,20200818,17071029
17071028,"오케이 마담","그냥  별 생각없이  볼만한   영화   보다가  잠들어서   끝에  내용은  모름",6,20200818,17071028
17071026,"사이더 하우스","토비 애기같고 순수하니 예쁘다. 고아원아이들 너무 예뻐서 내가 영화속에 들어가서 다 키우고 싶었음.",10,20200818,17071026
17071025,"기생충","이게 뭐가 재밌나 말도안돼",2,20200818,17071025
17071023,"작은 아씨들","배우들의 연기가 너무 좋았고 어렸을때 즐겨보던 책을 영화로 다시보니 너무좋았다",10,20200818,17071023
17071022,"야구소녀","진짜 말도안되는 스토리다",2,20200818,17071022
17071021,"다만 악에서 구하소서","이정재 황정민이라는 두배우로 영화를 이렇게 만드는것도 대단하다 정말",1,20200818,17071021
17071020,"오케이 마담","볼만했어요! 까메오들도 다양해서 좋ㅤㅇㅏㅎ넹ㅅ",8,20200818,17071020
17071019,"다만 악에서 구하소서","이정재님은 연기를 너무 잘하셔서 볼때마다 살쩔려요",10,20200818,17071019
17071018,"오케이 마담","반도/강철비/오케이마담 아무것도 못피했네 3진아웃이다",1,20200818,17071018
17071017,"기묘한 가족","가족과 함께 가벼운 영화를 보고 싶다면 딱 좋은 영화예요 ㅎㅎ코믹한 영화를 좋아해서 너무 재미있게 봤어요",10,20200818,17071017
17071014,"오케이 마담","어느정도 예상하고 갔는데도 정~말 별로네요관람평 한번도 안썼는데 오죽하면 올립니다. 뻔~한 내용 반전 실패 웃고싶어 갔는데  한번도 안 웃김나중 tv시청하세요. 곧 100만 된다니 ㅋㅋ",4,20200818,17071014
17071013,"오케이 마담","막 웃긴건 아니었지만 재미있게 봤다",8,20200818,17071013
17071012,"반도","캐스팅부터 스토리까지 다 별로",4,20200818,17071012
17071010,"사라진 밤","보다가 졸다가 도저히 못보겠어서 포기함...",1,20200818,17071010
17071009,"다만 악에서 구하소서","별로였음 반도는 어이없어서 웃기라도ㅎㅐㅆ는데 이건좀;;;;",4,20200818,17071009
17071008,"강철비2: 정상회담","안본 눈 찾습니다한국의 영화 수준을 보여주는 시간..",1,20200818,17071008
17071007,"다만 악에서 구하소서","재미는 있지만 너무 잔인함",6,20200818,17071007
17071006,"러빙 빈센트","엄청 잼나게 볼거라기대했는데 그만큼은아니었지만 그래도 한번더보고싶은 영화 고흐가 그립네요",10,20200818,17071006
17071005,"돈","그냥 진짜 무료할때 킬링타임용. 현실과 동떨어지고 개연성없음.",1,20200818,17071005
17071004,"툴리","평점 평점 평점 평점 평점",1,20200818,17071004
17071003,"지푸라기라도 잡고 싶은 짐승들","걍 재밌게 봤음. 요런 뒤죽박죽, 빤하지않은 전개 좋아 엄지척!",8,20200818,17071003
17071002,"강철비2: 정상회담","전작이 괜찮아서 나름 기대가 있었는데, 스케일 만 커지며 개연성은 너무 아쉽다..",5,20200818,17071002
17071001,"나의 소녀시대","왜 이제야 봤는지 ㅠ 감동이기도 하고 슬프네요",10,20200818,17071001
17071000,"메소드","봐도 봐도 질리지 않는, 보기에 어색하지 않은 편안한 연기, 감정선..",10,20200818,17071000
17070999,"강철비2: 정상회담","최악임. 정우성/유연석 모두 미스캐스팅미국대통령역할 맡은 배우가 연기 제일 잘함 ㅋㅋ그리고 스토리가 일단 최악.우리 나라를 둘러싼 정세가 거지같은건 맞지만,저렇게 민족만 생각하는 남한 북한 정치인이 있을리가 없다.",1,20200818,17070999
17070998,"오케이 마담","몇 번의 반전이 있음. 기대하지 않고 편안하게 보면 좋음.다소 단순한 스토리지만 나름 지루하지 않게 잘 만들었음.",10,20200818,17070998
17070997,"유랑지구","CG 가 특별히 어색한건 없는데 그건 어디까지나 기존 중국 영화들과 비교했을때지.. 중국도 이제 이만큼 만든다 이럴 영화는 아닌 것 같음. 스토리 산만하고 블록버스터 재난 영화의 정석과도 같은 전개라 특이할 것도 없고.. 근데 리뷰란 보니까 조선족 내지는 한족들 좀 있는거 같은데 얘네들 평 보면 무슨 어벤저스급 영화 만든줄.. F-22 전투기에 J20 비비는거 보는 것 같음.  물론 딱 B-급 헐리웃 영화 수준은 충분히 되기에 6점 드림",6,20200818,17070997
17070996,"오케이 마담","재밌더라고ㅋㅋ!  웃기다",10,20200818,17070996
17070995,"#살아있다","만들다 만 영화같다. 모든게 다 3류처럼 허접하다.두배우 출연료 주고 나면 적자일듯.",2,20200818,17070995
17070994,"골 2: 꿈을 향해 뛰어라","아니 ㅈ같은 애쉑을 왜 넣었냐말하는 꼬라지보면 때리고 싶다. 전작에 있던 아빠와 같이 살때의 그 동생 어디갔냐? 차라리 걔를 넣어라미친 애새끼가 람보르기니를 끌고 튀네 씨발 어이가 없다 ㅋ",1,20200818,17070994
17070993,"말모이","정말 너무 감동적인 영화에요. 우리나라말의 소중함을 일깨워 주는 이런 좋은 역사영화 만들어 주셔서 너무 감사합니다. 영화에 나오신 모든 배우분들 연기도 정말 멋있었습니다. 조선어학회분들 정말 존경하고 감사합니다 . 한글대사전만들기 위해 힘써 주신 노력 잊지 않겠습니다",10,20200818,17070993
17070991,"백두산","재미없다는 평이 되게 많은데 저는 엄청 재밋게 봤어요. 중간중간 들어있는 유머들도 너무 재밋있었고, 마지막에 슬픈 장면이 나올때는 친구랑 같이 울면서 봤어요. 그래서 저는 영화보고 나올때 나중에 꼭 한번 더 봐야겠다는 생각을 했고, 인생영화라고 생각했는데, 왜 다들 평점을 그렇게 주시는지 이해가 안되네요. 백두산 재밋으니깐 꼭 한번 보는걸 추천합니당!!!",10,20200818,17070991
17070990,"다만 악에서 구하소서","최근 2년간 본 영화 중 가장 최고였습니다",10,20200818,17070990
17070989,"가구야공주 이야기","꽃과 나무 풀벌레 소리를  보이게 해줍니다.",9,20200818,17070989
17070988,"오케이 마담","킬링타임 용으로 보기 딱 좋아요.사실 스토리의 개연성 및 사실성을 따지면 리뷰 점수가 낮을 수 있지만이 영화는 웃음과 개그가 목적이라 높은 점수를 줍니다.",10,20200818,17070988
17070987,"돈 크라이 마미","내가 은아 아버지였으면 가해자들 그냥 다 썰어서 죽이지 곱게 안죽인다.",1,20200818,17070987
17070917,"반도","개재밌게 ㅤㅂㅘㅅ는데 평점 왜이러지??ㅡㅡ그럼 니들이 만드시던긴ㅡㅡ (후속작 기다합니다ㅎㅎ)",10,20200818,17070917
17070916,"다만 악에서 구하소서","캐스팅 만점연기 만점스토리 빵점",3,20200818,17070916
17070915,"오케이 마담","그럭저럭 볼만한 영화 였습니다",7,20200818,17070915
17070914,"다만 악에서 구하소서","영상미는 액션이라 다 폭발하고 좋은대..조금 잔인함..스토리는 어디서나 볼 수 있는듯한 ..느낌제목은 어그로인걸까",5,20200818,17070914
17070913,"코드 8","그냥저냥 킬링타임용으로 ㄱㅊ",8,20200818,17070913
17070912,"작은 소망","정말 1점도 아깝습니다",1,20200818,17070912
17070911,"데몰리션 맨","야스는 역시 액체가 교환돼야 합니다",6,20200818,17070911
17070910,"트랜짓","떠나가는 자에서 떠나보내는 자의 위치로 바뀌는 변화.",7,20200818,17070910
17070909,"오케이 마담","올해 가장 볼~만한 재밋는 영화!!! 시간안아까움... 엄마랑 아무생각없이 봤다가 큰소리로 웃고 나옴 ㅋㅋㅋ 기냥 재미로 보기 최고",10,20200818,17070909
17070908,"유랑지구","제일 웃긴 게 지구를 구하는데 10명도 안되는 중국인들끼리 얘기하고 정함. 그 와중에 연합정부는 개인 권한으로 허락해줌. 코미디 영화ㅠ 왜 7점인지 의문이다.. ㅤㅇㅙㄹ케 높지?",1,20200818,17070908
17070906,"강철비2: 정상회담","진짜 핵노잼이다... ㅠ 정말너무너무하다 싶을정도",2,20200818,17070906
17070905,"강철비2: 정상회담","종북좌파 빨갱이 쓰레기 영화",1,20200818,17070905
17070904,"그림자 살인","전형적인 초반에 힘 다 빼서 체력 고갈되는 타입",6,20200818,17070904
17070903,"다만 악에서 구하소서","돈아까울뻔 했는데 박정민때문에... 에어컨값 내고 왔다라고 위안을... 박정민이 영화를 악에서 구했음...",5,20200818,17070903
17070902,"결백","신혜선 별로아 생각해 안보려는걸 예고편이 흥미로워 봤다만  끝나고 바로 또 돌려봤다  간만에 재밌게 본영화 성공이다!  신혜선의 재재발견~",10,20200818,17070902
17070901,"스물","야 동성친구랑보는데도 껄끄럽더라. 대체 이게 왜 평점이 8.6임? 개소리하지마라; 쓰레기짓 포장하려는걸로 밖에안보임 짜증나는 내용투성이; 중간에 김우빈이 말하는 영화내용은 무슨생각으로 넣었냐? 그거보며 관객이 웃을거라 생각한건 아니지?",1,20200818,17070901
17070899,"주글래 살래","이 작품을  이제서야  보다니요     한국영화사에  길이남을  작품입니다",10,20200818,17070899
17070898,"반도","돈 받으려고 씁니다. 공백ㅗ",2,20200818,17070898
17070897,"오케이 마담","액션 코믹 둘다 최고에요 시간가는 줄 모르고 재밌게 봤습니다",10,20200818,17070897
17070896,"두근두근 내 인생","책도 보고 영화도 봤는데 좋았어요",10,20200818,17070896
17070895,"강철비2: 정상회담","이거 미국 헐리웃에 수출 하자!!!! ㅋㅋㅋ",1,20200818,17070895
17070894,"다만 악에서 구하소서","그냥 볼만해요",8,20200818,17070894
17070893,"라이언 일병 구하기","90년대 영화를 이제서야 봤는데 퀄리티가 엄청나네요...감동입니다",10,20200818,17070893
17070892,"강철비2: 정상회담","영화로서 별재미는 없지만 한국 북중러가 서로 전쟁하고 반감생길수록 이득은 일본과 미국이 챙긴다는건 알겠다.",4,20200818,17070892
17070891,"강철비2: 정상회담","미국 비꼬으려고 만든 영화(?)문재x하고 김정x는 영웅으로 나오네 ㅡㅡ",2,20200818,17070891
17070890,"다만 악에서 구하소서","알맹이가 없는 영화. 스토리도 허술하고 영화 끝나고 머릿속에 남는게 하나도 없음. 아 하나 있다, 박정민 배우! 그냥 가볍게 액션 즐기기엔 괜찮은 영화입니다.",5,20200818,17070890
17070889,"백악기 꼬마공룡을 찾아서","Amazon Prime에서 인기있는 TV시리즈의 극장판으로 애들에겐 역시 공룡이죠!!",10,20200818,17070889
17070888,"자전차왕 엄복동","희대의 절도범을 영웅시 하는 졸작들은 만들지 말아야됨",2,20200818,17070888
17070887,"다만 악에서 구하소서","두 연기자분 너무 좋아하는데, 이건 아니잖아.보다가 한숨 10000번 나옵니다.",2,20200818,17070887
17070886,"오케이 마담","솔직히 웃기는부분은 배정남밖에 없었고 어처구니없는건 비행기 문이 박살났는데 박살난 문사이로 여유롭게지나가는 말도안되는 스토리부터 그지같은 cg 차라리 GTA 그래픽이 더 현실같다고 느낄정도임글고 비행기가 납치된 사건인데 하와이가서 노는게 말이되냐",1,20200818,17070886
17070885,"초미의 관심사","배우들 연기도 좋았지만 남연우감독님 발견한 영화 앞으로 기대가됩니다 ^^",9,20200818,17070885
17070884,"다만 악에서 구하소서","박정민은 연기 잘 하는 좋은 배우의 기준을 다시 쓰는 배우-",10,20200818,17070884
17070883,"오케이 마담","평점에 낚인듯 합니다. 생각보다 좀 아니었어요.",6,20200818,17070883
17070882,"어린 신부","귀엽고 풋풋한 미가 영화에 잘 담겨있음",10,20200818,17070882
17070881,"다만 악에서 구하소서","액션은 보통 , 대사는 중2병, 그래도 하나 건진건 박정민의 연기",6,20200818,17070881
17070879,"컨택트","평론가 평점 막장이네..자본주의에 휘말렸나신파 가득한 뻔하고 뻔한 한국영화들점수 주는 거랑 이 영화랑 점수를 똑같이 주네...",10,20200818,17070879
17070878,"강철비2: 정상회담","양우석 빨갱이가 그리 좋으면 월북하세요..",1,20200818,17070878
17070877,"강철비2: 정상회담","일베들 평점테러 심각하네요.",10,20200818,17070877
17070876,"강철비2: 정상회담","다큐멘터리같음불면증치료제",2,20200818,17070876
17070875,"월터의 상상은 현실이 된다","처음엔...어? 뭐야~ 하고 봤다가 점점 영상미에 빠져들고... 감동의 물결이 넘쳐오는...좋은 영화예요. ^^",10,20200818,17070875
17070872,"다크 시티","최고급 주제를 유치하고 어설프게 풀어가버리네",8,20200818,17070872
17070873,"강철비2: 정상회담","이건뭐지?ㅋ 시간이 아깝다",2,20200818,17070873
17070871,"오케이 마담","여행 못가고 웃을 일도 적은 지금 시기에 가볍게 보기에는 괜찮은 영화 같아요! 생각보다 분량이나 존재감 등등이 엄정화씨 1인 주연 느낌이 강했어요",8,20200818,17070871
17070870,"오케이 마담","이게 재밌다고?;;에반데..음.. 배우분들 연기는 다들 잘 하십니다.",1,20200818,17070870
17070867,"다만 악에서 구하소서","재미있었어요 조금 뻔한 스토리지만 연기력이 좋아서 재미있게 봤습니다!",8,20200818,17070867
17070866,"타짜","제 인생 역대급 명작입니다. 100번을 넘게 봐도 새롭고 또 설레이는 영화. 연출,연기,스토리,음악 뭐하나 왜저래?라는 느낌없이 최고의 웰메이드 영화라고 생각이 듭니다. 연출하며 대사와 표정 카메라워크 모든것의 디테일이 숨어있어 매번 볼때마다 새로운 디테일들을 알아가는 재미가 있는 명작 중의 명작.",10,20200818,17070866
17070865,"캡틴 아메리카: 윈터 솔져","모든 캐릭터가 다 각자의 감정으로 전투에 임한다, 9점을 주는 이유는, 더 이상 캡틴아메리카를 못보는 너무 큰 아쉬움에 1점,,, 크리스에반스,,",9,20200818,17070865
17070864,"반도","결말이 너무 아쉽고..그래도 못볼 정도는 아니였어요스토리는 흥미 있었습니다",7,20200818,17070864
17070863,"겟 아웃 얼라이브","주인공이 닥터스트레인지에서 매즈 미켈슨 똘마니였네요",8,20200818,17070863
17070862,"오케이 마담","재밌었어요. 너무 무섭지 않았어요.",10,20200818,17070862
17070860,"피막","본격 무속 복수극, 깨어난 아들이 옥화의 살해 방법을 과학적으로 설명하는 부분이 백미.",7,20200818,17070860
